"X","Id","Titre","Auteurs","Description","Date"
1,124,"Hybrid Automata: An Algorithmic Approach to the Specification and Verification of Hybrid Systems","Costas Courcoubetis; Pei-hsin Ho; Rajeev Alur; Thomas A. Henzinger;","We introduce the framework of hybrid automata as a model and specification language for hybrid systems. Hybrid automata can be viewed as a generalization of timed automata, in which the behavior of variables is governed in each state by a set of differential equations. We show that many of the examples considered in the workshop can be defined by hybrid automata. While the reachability problem is undecidable even for very restricted classes of hybrid automata, we present two semidecision procedures for verifying safety properties of piecewise-linear hybrid automata, in which all variables change at constant rates. The two procedures are based, respectively, on minimizing and computing fix points on generally infinite state spaces. We show that if the procedures terminate, then they give correct answers. We then demonstrate that for many of the typical workshop examples, the procedures do terminate and thus provide an automatic way for verifying their properties. 1 Introduction More and...","1996-02-21"
2,496,"Representing Action: Indeterminacy and Ramifications","Enrico Giunchiglia; G. Neelakantan Kartha; Vladimir Lifschitz;","We define and study a high-level language for describing actions, more expressive than the action language A introduced by Gelfond and Lifschitz. The new language, AR, allows us to describe actions with indirect effects (ramifications), nondeterministic actions, and actions that may be impossible to execute. It has symbols for non propositional fluents and for the fluents that are exempt from the commonsense law of inertia. Temporal projection problems specified using the language AR can be represented as nested abnormality theories based on the situation calculus. 1 Introduction Mary jumped into the lake, then got out of the water and put her hat on. Common sense allows us to answer some questions about the outcome of this series of events. ffl Is Mary in the lake? Of course not. She just got out of it. ffl Does she have the hat on? Of course she does. She just put it on. ffl Is she wet? Of course she is. She just got out of the lake. These are examples of reasoning about actions...","1996-09-12"
3,712,"A Decision Procedure for a Temporal Belief Logic","Michael Fisher; Michael Wooldridge;",". This paper presents a temporal belief logic called L TB . In addition to the usual connectives of linear discrete temporal logic, L TB contains an indexed set of modal belief connectives, via which it is possible to represent the belief systems of resource-bounded reasoning agents. The applications of L TB in general, and its use for representing the dynamic properties of multi-agent AI systems in particular, are discussed in detail. A tableau-based decision procedure for L TB is then described, and some examples of its use are presented. The paper concludes with a discussion and future work proposals. 1 Introduction Temporal logics have been shown to have many applications, in a variety of disciplines. For example: in computer science, temporal logics are used in the specification and verification of reactive systems [16]; in artificial intelligence, they are used as knowledge representation formalisms, and have proved to be a valuable tool in tackling such problems as reasoning ab...","1998-07-23"
4,1186,"A Comparative Evaluation of Sequential Feature Selection Algorithms","David W. Aha; Richard L. Bankert;","Several recent machine learning publications demonstrate the utility of using feature selection algorithms in supervised learning tasks. Among these, sequential feature selection algorithms are receiving attention. The most frequently studied variants of these algorithms are forward and backward sequential selection. Many studies on supervised learning with sequential feature selection report applications of these algorithms, but do not consider variants of them that might be more appropriate for some performance tasks. This paper reports positive empirical results on such variants, and argues for their serious consideration in similar learning tasks. 19.1 Motivation Feature selection algorithms attempt to reduce the number of dimensions considered in a task so as to improve performance on some dependent measures. In this paper, we restrict our attention to supervised learning tasks, where our dependent variables are classification accuracy, size of feature subset, and computational ...","1995-12-29"
5,1347,"Extending Promela and Spin for Real Time","Costas Courcoubetis; Stavros Tripakis;","The efficient representation and manipulation of time information is key to any successful implementation of a verification tool. We extend the syntax and semantics of the higher level specification language Promela to include constructs and statements based on the model of timed Buchi automata [2]. We implement these extensions on top of the verification tool Spin. 1 Introduction Promela [8] is a language for the specification of interactive concurrent systems. Such systems consist of a finite number of separate components, which act independently one from another, and interact through the exchange of messages over message channels. A large part of these systems, including communication protocols, asynchronous circuits, traffic or flight controllers, and real--time operating systems can be characterized as real--time systems. This characterization comes from the following two observations : 1. the correct functioning of those systems depends on the timely coordination of their inter...","1998-11-10"
6,1948,"TTA Processor Synthesis","Henk Corporaal; Reinoud Lamberts;","Due to the decreasing feature size of VLSI technology, the amount of hardware which can be integrated into a single chip increases. As a result, future processor chips can execute tens of operations concurrently. Many applications can profit from these huge amounts of hardware parallelism by designing application specific processors. Two problems emerge however: 1) the design space gets large; it is difficult to chose a satisfactory solution, and 2) the design complexity increases and therefore design cycle gets too long. Solving these problems makes tools for automatic processor design necessary. In this paper we present such a tool. It generates processor layout for so called transport triggered processors. The processor configuration is largely parameterized. A working processor has already been produced using this generator. An important question concerns the quality of automatically generated designs: what do we pay in area and cycle time, when compared to a manual design? In orde...","1997-03-19"
7,2104,"Sample Method for Minimization of OBDDs","Christoph Meinel;","This paper contributes to the solution of the minimization problem of Ordered Binary Decision Diagrams by means of variable reordering. We suggest a new heuristic that is based on sampling. A small OBDD sample is chosen from the OBDDs that are considered for minimization. Solving the problem for this small sample, we obtain a variable order that is adapt for the entire OBDDs. We present first experimental results with the Sample Reordering targeted at combinatorial verification. The suggested heuristic is substantially faster than Sifting. 1 Introduction The problem of highest priority for all practical applications that use Ordered Binary Decision Diagrams (OBDDs, for definitions see [Bry86]) is their conciseness. Since the size of the OBDD representation for a function may vary exponentially for different orders of variables, the problem of finding an optimal variable ordering that realizes the minimal size is of special interest. This problem is known to be NP-complete [THY93, BW96...","1998-10-20"
8,2111,"Pushing the Envelope: Planning, Propositional Logic, and Stochastic Search","Bart Selman; Henry Kautz;","Planning is a notoriously hard combinatorial search problem. In many interesting domains, current planning algorithms fail to scale up gracefully. By combining a general, stochastic search algorithm and appropriate problem encodings based on propositional logic, we are able to solve hard planning problems many times faster than the best current planning systems. Although stochastic methods have been shown to be very effective on a wide range of scheduling problems, this is the first demonstration of its power on truly challenging classical planning instances. This work also provides a new perspective on representational issues in planning. Introduction There is a widespread belief in the AI community that planning is not amenable to general theorem-proving techniques. The origin of this belief can be traced to the early 1970's, when work on plan generation using first-order, resolution theorem-proving (Green 1969) failed to scale up to realistically-sized problems. The relative succe...","1998-03-17"
9,2490,"Decision Trees for Automated Identification of Cosmic Ray Hits in Hubble Space Telescope Images","Holland Ford; Richard L. White; Rupali Chandar; Sreerama K. Murthy; Steven Salzberg;","We have developed several algorithms for classifying objects in astronomical images. These algorithms have been used to label stars, galaxies, cosmic rays, plate defects, and other types of objects in sky surveys and other image databases. Our primary goal has been to develop techniques that classify with high accuracy, in order to ensure that celestial objects are not stored in the wrong catalogs. In addition, classification time must be fast due to the large number of classifications and to future needs for on-line classification systems. This paper reports on our results from using decision tree classifiers to identify cosmic ray hits in Hubble Space Telescope images. This method produces classifiers with over 95% accuracy using data from a single, unpaired image. Our experiments indicate that this accuracy will get even higher if methods for eliminating background noise improve. 1 Address for Salzberg and Murthy: Department of Computer Science, Johns Hopkins University, Baltimore,...","1994-11-04"
10,3156,"Irrelevant Features and the Subset Selection Problem","George H. John; Karl Pfleger; Ron Kohavi;","We address the problem of finding a subset of features that allows a supervised induction algorithm to induce small high-accuracy concepts. We examine notions of relevance and irrelevance, and show that the definitions used in the machine learning literature do not adequately partition the features into useful categories of relevance. We present definitions for irrelevance and for two degrees of relevance. These definitions improve our understanding of the behavior of previous subset selection algorithms, and help define the subset of features that should be sought. The features selected should depend not only on the features and the target concept, but also on the induction algorithm. We describe a method for feature subset selection using cross-validation that is applicable to any induction algorithm, and discuss experiments conducted with ID3 and C4.5 on artificial and real datasets. 1 INTRODUCTION In supervised learning, one is given a training set containing labelled instances. T...","1997-01-14"
